URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.4.625",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/http-verb"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.319",ListMode,ListMode,"The processing mode that applies to this list.","ValueSet/list-mode"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/search-entry-mode,4.0.1,active,"2.16.840.1.113883.4.642.4.623",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","ValueSet/search-entry-mode"
http://hl7.org/fhir/specimen-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.472",SpecimenStatus,SpecimenStatus,"Codes providing the status/availability of a specimen.","ValueSet/specimen-status"
http://hl7.org/fhir/task-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.791",TaskStatus,TaskStatus,"The current status of the task.","ValueSet/ch-elm-status"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/lab-reportType-eu-lab,ValueSet/document-classcodes,ValueSet/ch-elm-results-laboratory-observation-complete,ValueSet/doc-typecodes,ValueSet/ch-elm-lab-study-types,ConceptMap/ch-elm-results-susc-to-component-observation-profile,ValueSet/ch-elm-results-component-gene-tb,ConceptMap/ch-elm-results-susc-to-component-interpretation-code,ValueSet/ch-elm-results-laboratory-observation-susc,ValueSet/ch-elm-results-component-antibiotic-tb,ValueSet/lab-studyType-eu-lab,ValueSet/observation-codes,ValueSet/ch-elm-expecting-organism-specification,ConceptMap/ch-elm-results-to-interpretation-code,ValueSet/c80-doc-typecodes,ConceptMap/ch-elm-results-susc-to-component-code,ConceptMap/ch-elm-results-to-observation-profile,ValueSet/doc-section-codes,ValueSet/lab-orderCodes-eu-lab,ConceptMap/ch-elm-results-geno-to-component-interpretation-code,ConceptMap/ch-elm-expecting-organism-specification-to-results-completion-vs,ConceptMap/ch-elm-expecting-specimen-specification-to-results-completion-vs,ValueSet/ch-elm-results-laboratory-observation,ConceptMap/ch-elm-results-to-foph-patient-name-representation,ValueSet/ch-elm-expecting-specimen-specification,ConceptMap/ch-elm-results-geno-to-component-code,ValueSet/ch-elm-results-laboratory-observation-geno"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/servicerequest-category,ValueSet/ch-elm-results-cjd-org,ValueSet/ch-elm-results-lis-org,ValueSet/ch-elm-results-sal-org,ValueSet/ch-elm-interpretation-codes-avidity,ValueSet/ch-elm-lab-study-types,ValueSet/specimen-collection-method,ValueSet/ch-elm-results-mpox-org,ValueSet/ch-elm-results-men-org,ValueSet/body-site,ValueSet/lab-specimenType-eu-lab,ConceptMap/ch-elm-results-to-interpretation-code,ValueSet/medication-as-needed-reason,ValueSet/c80-facilitycodes,ValueSet/ch-elm-results-mea-org,ValueSet/ch-elm-results-mal-org,ValueSet/ch-elm-results-sal-org-complete,ValueSet/ch-elm-results-haem-org,ValueSet/ch-elm-results-sterile-spec,ValueSet/ch-elm-results-tub-org,ValueSet/ch-elm-results-component-hiv-recency,ValueSet/ch-elm-results-shi-org,ValueSet/ch-elm-interpretation-codes-sero,ValueSet/ch-elm-results-tul-org,ValueSet/observation-methods,ValueSet/lab-specialty-eu-lab,ValueSet/ch-elm-results-chol-org,ValueSet/ch-elm-results-complete-spec,ValueSet/ch-elm-results-camp-org,ValueSet/servicerequest-orderdetail,ValueSet/ch-elm-results-diph-org,ValueSet/ch-elm-results-geni-spec,ValueSet/clinical-findings,ValueSet/participant-role,ValueSet/ch-elm-results-laboratory-observation-complete,ValueSet/lab-specimenContainer-eu-lab,ValueSet/ch-elm-results-virus-cult-org,ValueSet/ch-elm-results-pneu-org,ValueSet/HCProfessional.hcProfession,ValueSet/lab-technique-eu-lab,ValueSet/c80-practice-codes,ValueSet/DocumentEntry.healthcareFacilityTypeCode,ValueSet/referencerange-appliesto,ValueSet/ch-elm-results-bru-org,ValueSet/ch-elm-results-coded-values-laboratory,ValueSet/procedure-reason,ValueSet/ch-elm-results-shi-nent-org,ValueSet/ch-elm-results-leg-org,ValueSet/ch-elm-results-hanta-org,ValueSet/ch-elm-results-influenza-hxny-org,ValueSet/ch-elm-results-laboratory-observation,ConceptMap/ch-elm-results-to-foph-patient-name-representation,ValueSet/ch-elm-results-maldi-tof-org,ValueSet/ch-elm-results-lis-spec"
http://terminology.hl7.org/CodeSystem/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1129",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","ValueSet/contactentity-type"
http://terminology.hl7.org/CodeSystem/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/list-empty-reason,4.0.1,draft,"2.16.840.1.113883.4.642.4.1106",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","ValueSet/list-empty-reason"
http://terminology.hl7.org/CodeSystem/list-order,4.0.1,draft,"2.16.840.1.113883.4.642.4.1107",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","ValueSet/list-order"
http://terminology.hl7.org/CodeSystem/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/observation-category"
http://terminology.hl7.org/CodeSystem/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.4.1124",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","ValueSet/referencerange-meaning"
http://terminology.hl7.org/CodeSystem/v2-0074,2.9,active,"2.16.840.1.113883.18.29",v2.0074,v2 DIAGNOSTIC SERVICE SECTION ID,"FHIR Value set/code system definition for HL7 v2 table 0074 ( DIAGNOSTIC SERVICE SECTION ID)","ValueSet/diagnostic-service-sections"
http://terminology.hl7.org/CodeSystem/v2-0131,2.9,active,"2.16.840.1.113883.18.58",v2.0131,v2 Contact Role,"FHIR Value set/code system definition for HL7 v2 table 0131 ( Contact Role)","ValueSet/patient-contactrelationship"
http://terminology.hl7.org/CodeSystem/v2-0203,2.9,active,"2.16.840.1.113883.18.108",v2.0203,v2 Identifier Type,"FHIR Value set/code system definition for HL7 v2 table 0203 ( Identifier Type)","ValueSet/identifier-type"
http://terminology.hl7.org/CodeSystem/v2-0371,2.9,active,"2.16.840.1.113883.18.229",v2.0371,v2 Additive,"FHIR Value set/code system definition for HL7 v2 table 0371 ( Additive)","ValueSet/v2-0371"
http://terminology.hl7.org/CodeSystem/v2-0373,2.9,active,"2.16.840.1.113883.18.231",v2.0373,v2 Treatment,"FHIR Value set/code system definition for HL7 v2 table 0373 ( Treatment)","ValueSet/specimen-processing-procedure"
http://terminology.hl7.org/CodeSystem/v2-0493,2.9,active,"2.16.840.1.113883.18.317",v2.0493,v2 Specimen Condition,"FHIR Value set/code system definition for HL7 v2 table 0493 ( Specimen Condition)","ValueSet/v2-0493"
http://terminology.hl7.org/CodeSystem/v2-0916,2.9,active,"2.16.840.1.113883.18.422",v2.0916,v2 Relevant Clincial Information,"FHIR Value set/code system definition for HL7 v2 table 0916 ( Relevant Clincial Information)","ValueSet/v2-0916"
http://terminology.hl7.org/CodeSystem/v3-ActCode,2018-08-12,active,"2.16.840.1.113883.5.4",v3.ActCode,v3 Code System ActCode," A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/v3-ActCode"
http://terminology.hl7.org/CodeSystem/v3-Confidentiality,2018-08-12,active,"2.16.840.1.113883.5.25",v3.Confidentiality,v3 Code System Confidentiality," A set of codes specifying the security classification of acts and roles in accordance with the definition for concept domain ""Confidentiality"".","ValueSet/v3-ConfidentialityClassification"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,2018-08-12,active,"2.16.840.1.113883.5.83",v3.ObservationInterpretation,v3 Code System ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" /  ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/observation-interpretation,ValueSet/ch-elm-interpretation-codes-res,ValueSet/ch-elm-interpretation-codes-pos-neg,ValueSet/ch-elm-interpretation-codes-res-sus,ValueSet/ch-elm-interpretation-codes-titer,ValueSet/ch-elm-interpretation-codes-pos"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,2018-08-12,active,"2.16.840.1.113883.5.111",v3.RoleCode,v3 Code System RoleCode," A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/v3-ServiceDeliveryLocationRoleType"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
urn:iso:std:iso:3166,1.0.1,active,"1.0.3166.1",ISO3166Part1,ISO 3166-1 Codes for the representation of names of countries and their subdivisions — Part 1: Country code,"ISO 3166-1 establishes codes that represent the current names of countries, dependencies, and other areas of particular geopolitical interest, on the basis of country names obtained from the United Nations.","ValueSet/bfs-country-codes"
urn:oid:2.16.756.5.30.1.127.3.10.9,3.3.0,active,"2.16.756.5.30.1.127.3.10.9",ChEhealthCodesystemHpd,ch-ehealth-codesystem-hpd,"HCProfessional.hcProfession","ValueSet/HCProfessional.hcProfession"
urn:oid:2.16.756.5.30.1.127.3.5,3.3.0,active,"2.16.756.5.30.1.127.3.5",ChEhealthCodesystemMedreg,ch-ehealth-codesystem-medreg,"HCProfessional.hcSpecialisation","ValueSet/HCProfessional.hcSpecialisation"
urn:oid:2.16.756.5.30.1.129.1.5.1,1.14.0,active,"2.16.756.5.30.1.129.1.5.1",ChElmFophCodeReserve,CH ELM FOPH Code Reserve,"This code system contains proprietary placeholder codes for use in situations of emerging pathogens for which no other code exist.","ValueSet/ch-elm-results-laboratory-observation,ConceptMap/ch-elm-results-to-foph-patient-name-representation,ValueSet/ch-elm-results-laboratory-observation-complete,ConceptMap/ch-elm-results-to-interpretation-code"
